product_handle,title,description,price,images
casual-linen-boyfriend-shirt-sea-blue-chambray,Casual Linen Boyfriend Shirt,"Loose Fit – where comfort meets cool, a stylish loose cut makes this a must-have shape Long sleeves with a single collar Button-down with button fastening cuffs Signature metal tab on the hemline Our Casual Linen Boyfriend Shirt is the perfect everyday look for whatever your plans. Crafted with a woven material and a loose fit, it's ideal for layering over a basic tee with a pair of denim shorts or dressing up with a skirt.Care Instructions:100% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean Wash: Machine Wash - Cold (30°C)",99.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666723066.jpg?v=1755478022"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666723064.jpg?v=1755478022"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666723056.jpg?v=1755478022"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666723062.jpg?v=1755478022"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666723058.jpg?v=1755478022"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666723060.jpg?v=1755478022""]"
essential-logo-garment-dye-pocket-t-shirt-fiery-coral,Essential Logo Garment Dye Pocket T-Shirt,"Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size Crew neckline with short sleeves Single chest pocket Slub jersey material Signature tab on the side seam Contrast embroidered text on the chest An essential in every wardrobe, especially yours. Our Essential Logo Garment Dye Pocket T-Shirt has been designed with a super soft jersey material and a classic silhouette, it's a signature staple for layering throughout the seasons.Care Instructions:Cotton 100% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean Wash: Machine Wash - Cold (30°C)",29.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666708470.jpg?v=1755478023"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666708468.jpg?v=1755478023"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666708462.jpg?v=1755478023"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666708466.jpg?v=1755478023"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666708464.jpg?v=1755478023""]"
scoop-neck-tank-top-bluebell,Scoop Neck Tank Top,"Relaxed: A classic fit. Not too slim, not too tight – no distractions here Scoop neck Shoulder straps Embroidered Superdry logo Looking for a soft touch essential? The Scoop Neck Tank Top has you covered. This classic is sure to be a wardrobe staple for those chilled-out warm days, ensuring you look and feel your best all season.Care Instructions:40%, Cotton 60% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean Wash: Machine Wash - Cold (30°C)",26.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666703022.jpg?v=1755478024"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666703020.jpg?v=1755478024"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666703016.jpg?v=1755478024"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666703018.jpg?v=1755478024""]"
textured-woven-cami-mini-dress-off-white,Textured Woven Cami Mini Dress,"Slim fit – designed to fit closer to the body for a more tailored look Spaghetti straps with a V-neckline Adjustable drawcord under the bust Mini length with a signature metal tab on the back The most versatile dress to add to your collection this season. Crafted with an adjustable drawcord under the bust and woven textured fabric, you can tailor it to suit you to perfection whilst knowing you're turning heads for all the right reasons.Care Instructions:100% Shell: Viscose 33%, Cotton 67% Lining: Viscose 100% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean",69.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666689734.jpg?v=1755478025"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666689742.jpg?v=1755478025"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666689736.jpg?v=1755478026"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666689738.jpg?v=1755478025"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666689740.jpg?v=1755478026""]"
essential-logo-washed-t-shirt-holly-berry-red,Essential Logo Washed T-Shirt,"Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size Ribbed crew neckline Embroidered Superdry logo The Essential Logo Washed T-Shirt is the season staple needed for your everyday wardrobe, a transitional piece that can be styled into your personal look numerous ways. Bringing the iconic Superdry feel and quality to your essentials, this tee is your new go-to.",29.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666678050.jpg?v=1755478026"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666678048.jpg?v=1755478027"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666678040.jpg?v=1755478027"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666678046.jpg?v=1755478027"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666678042.jpg?v=1755478027"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666678044.jpg?v=1755478027""]"
chino-hot-shorts-olive-khaki,Chino Hot Shorts,"Slim fit – designed to fit closer to the body for a more tailored look Belt loops Button and zip fastening Two waist pockets Two back pockets Vintage Superdry logo patch The Chino Hot Shorts are a classic staple to embrace retro vibes. This summer wardrobe addition is perfect to maintain your authentic style and become an icon wherever you go.Care Instructions:100% Material: Elastane 2%, Cotton 98% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean",59.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666562141.jpg?v=1755478028"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666562129.jpg?v=1755478028"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666562127.jpg?v=1755478028"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666562139.jpg?v=1755478028"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666562137.jpg?v=1755478028"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666562131.jpg?v=1755478028"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666562133.jpg?v=1755478028"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666562135.jpg?v=1755478028""]"
essential-logo-washed-t-shirt-lauren-navy,Essential Logo Washed T-Shirt,"Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size Ribbed crew neckline Embroidered Superdry logo The Essential Logo Washed T-Shirt is the season staple needed for your everyday wardrobe, a transitional piece that can be styled into your personal look numerous ways. Bringing the iconic Superdry feel and quality to your essentials, this tee is your new go-to.Care Instructions:Cotton 100% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean Wash: Machine Wash - Cold (30°C)",29.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666680106.jpg?v=1755478029"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666680104.jpg?v=1755478029"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666680096.jpg?v=1755478029"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666680102.jpg?v=1755478029"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666680098.jpg?v=1755478029"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666680100.jpg?v=1755478029""]"
slub-embroidered-v-neck-t-shirt-azalea-pink,Slub Embroidered V-Neck T-Shirt,"Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size V-Neck Short sleeves with unfinished hems Embroidered logo Back seam Signature Superdry logo badge Dress your best in your casualwear this season with our Studios Slub Embroidered V-Neck T-Shirt. Simple and stylish, keeping your essentials elevated. This T-shirt is easy to pair with jeans or shorts to suit any occasion.Care Instructions:40%, Cotton 60% Bleach: Do Not Bleach Dry: Do Not Tumble Dry",29.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666680084.jpg?v=1755478031"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666680082.jpg?v=1755478030"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666680074.jpg?v=1755478030"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666680080.jpg?v=1755478030"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666680076.jpg?v=1755478031"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666680078.jpg?v=1755478031""]"
organic-cotton-high-rise-skinny-denim-jeans-fulton-vintage-blue,Organic Cotton High Rise Skinny Denim Jeans,"Skinny Fit. Fitting where they touch, as that’s what they’re designed to do. With a hint of stretch just to make sure, they’re cut to cling close, right from your seat through the thigh and down to a narrow ankle – the ultimate rock star look. Classic five-pocket design Button fastening with zip fly Comfort stretch Branded hardware Waist logo patch Coin pocket logo How did we survive before denim? It's been a wardrobe staple for generations and it looks set to continue. And our high-rise skinny jeans are here to make sure it stays that way. Designed with a flattering high rise and skinny leg cut, how you style these jeans is entirely up to you, which is why denim is so inclusive and so long-lived.Care Instructions:Cotton 91%, Elastane 2%, Polyester 7% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean",99.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666531488.jpg?v=1755478032"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666531486.jpg?v=1755478032"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666531484.jpg?v=1755478032"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666531493.jpg?v=1755478032"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666531494.jpg?v=1755478032"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666531495.jpg?v=1755478032""]"
ibiza-maxi-skirt-off-white,Ibiza Maxi Skirt,"Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size Woven maxi skirt with an elasticated ribbed waistline and part lining Cut-out detailing throughout the skirt with panels Designed for fun in the sun, our Ibiza Maxi Skirt is the perfect summer refresh your wardrobe has been calling out for. Breezy and stylish, pair with one of your cropped summer tops for that ideal, sought-after look.Care Instructions:100% Lining: Viscose 45%, Cotton 55% Material: Modal 45%, Viscose 55% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean Wash: Machine Wash - Cold (30°C)",99.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730803.jpg?v=1755478034"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730789.jpg?v=1755478035"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730791.jpg?v=1755478034"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730801.jpg?v=1755478034"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730799.jpg?v=1755478034"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730793.jpg?v=1755478034"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730795.jpg?v=1755478034"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730797.jpg?v=1755478034""]"
athletic-essentials-low-rise-flare-joggers-mariner-navy,Athletic Essentials Low Rise Flare Joggers,"Slim Fit. With enough room to move, these slim-fit joggers are cut for a sleek silhouette that sits close to the body and kicks out from the knee, yet are still easy to wear. Drawstring elasticated waist Two waist pockets Lightly brushed lining Embroidered Superdry logo Our Athletic Essentials Low Rise Flare Joggers are an authentic way to stay cosy. A minimalistic approach makes these joggers an easy choice that pairs with any style, whilst the flare design creates a chic silhouette that makes you feel comfortable and stylish. Effortlessly easy to pull on thanks to the adjustable waist and relaxed fit, this piece will bring timeless comfort to your chilled out look.Care Instructions:100% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean Wash: Machine Wash - Cold (30°C)",69.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730537.jpg?v=1755478036"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730533.jpg?v=1755478037"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730527.jpg?v=1755478036"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730535.jpg?v=1755478036"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730525.jpg?v=1755478036"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730529.jpg?v=1755478036"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666730531.jpg?v=1755478036""]"
studios-loose-t-shirt-navy-optic-stripe,Studios Loose T-Shirt,"Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size Scoop neckline with short sleeves Small signature tab on the hemline A necessity in any wardrobe, our Studios Loose T-Shirt is the perfect basic. Wear it with an oversized jacket and a pair of jeans for an effortless look, or as a layer on colder days.Care Instructions:40%, Cotton 60% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean Wash: Machine Wash - Cold (30°C)",29.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666678002.jpg?v=1755478038"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666678000.jpg?v=1755478039"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666677992.jpg?v=1755478038"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666677998.jpg?v=1755478038"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666677994.jpg?v=1755478038"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666677996.jpg?v=1755478038""]"
